reference_number,title,journal,year,authors,ANOVA_used,design_used,assumptions_check,which_assumptions_checked,transformation_used,type_of_transformation,motivation,reassessment_assumptions,interpretation_scala,study_element,jcr_impact_factor,status,discard_reason
298,Early modulation of visual perception by emotional arousal: Evidence from steady-state visual evoked brain potentials,,,,,,,,,,,,,,,discarded,It's not agrarian
299,Analysis of Variance Frameworks in Clinical Child and Adolescent Psychology: Advanced Issues and Recommendations,,,,,,,,,,,,,,,discarded,It's not agrarian
300,A case-control study of the impact of WBC reduction on the cost of hospital care for patients undergoing coronary artery bypass graft surgery,,,,,,,,,,,,,,,discarded,It's not agrarian
301,"Patterns of Distribution of Macro-fauna in Different Types of Estuarine, Soft Sediment Habitats Adjacent to Urban and Non-urban Areas",,,,,,,,,,,,,,,discarded,It's not agrarian
302,The Persistence of Structural Priming: Transient Activation or Implicit Learning?,,,,,,,,,,,,,,,discarded,It's not agrarian
303,"Extended Visual Fixation in the Early Preschool Years: Look Duration, Heart Rate Changes, and Attentional Inertia",,,,,,,,,,,,,,,discarded,It's not agrarian
304,Improving sampling designs for measuring restoration in aquatic habitats,,,,,,,,,,,,,,,discarded,It's not agrarian
305,A Comparison of Methods for Estimating the Benchmark Dose Based on Overdispersed Data from Developmental Toxicity Studies,,,,,,,,,,,,,,,discarded,It's not agrarian
306,Among-environment heteroscedasticity and the estimation and testing of genetic correlation,,,,,,,,,,,,,,,discarded,It's not agrarian
307,Evaluation of Censored Data Methods To Allow Statistical Comparisons among Very Small Samples with Below Detection Limit Observations,,,,,,,,,,,,,,,discarded,It's not agrarian
308,Statistical analysis of the lacI transgenic mouse mutagenicity assay,,,,,,,,,,,,,,,discarded,It's not agrarian
309,Analysis of vesicular-arbuscular mycorrhizal colonization data with a logistic regression model,,,,,,,,,,,,,,,discarded,It's not agrarian
310,SILICA EXPOSURE INCREASES EXPRESSION OF PULMONARY INTERCELLULAR ADHESION MOLECULE 1 ICAM 1 IN C57Bl 6 MICE,,,,,,,,,,,,,,,discarded,It's not agrarian
311,ANOVA: A Paradigm for Low Power and Misleading Measures of Effect Size?,,,,,,,,,,,,,,,discarded,It's not agrarian
312,Methodological and Statistical Considerations for Exercise-Related Hormone Evaluations,,,,,,,,,,,,,,,discarded,It's not agrarian
313,The effect of body position on bioelectrical resistance in individuals with spinal cord injury,,,,,,,,,,,,,,,discarded,It's not agrarian
314,Shrub Communities as in Southern Quebec,,,,,,,,,,,,,,,discarded,It's not agrarian
315,Principles for Griffing's combining ability analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
316,Sequential Transformation for Multiple Traits for Estimation of (Co)variance Components with a Derivative-Free Algorithm for Restricted Maximum Likelihood,,,,,,,,,,,,,,,discarded,It's not agrarian
317,Acetylation phenotype and cytochrome P450IA2 phenotvpe are unlikelv to be J'. associated'with peripheral arterd disease,,,,,,,,,,,,,,,discarded,It's not agrarian
318,Contributions to the design and statistical analysis of in vivo SCE experiments,,,,,,,,,,,,,,,discarded,It's not agrarian
319,Assertive Community Treatment for Frequent Users of Psychiatric Hospitals in a Large City: A Controlled Study 1,,,,,,,,,,,,,,,discarded,It's not agrarian
320,Chemometrics,,,,,,,,,,,,,,,discarded,It's not agrarian
321,Topographic EEG changes with normal aging and SDAT,,,,,,,,,,,,,,,discarded,It's not agrarian
322,Signalling systems for individual recognition: an information theory approach,,,,,,,,,,,,,,,discarded,It's not agrarian
323,Decisions Based on Numerically and Verbally Expressed Uncertainties,,,,,,,,,,,,,,,discarded,It's not agrarian
324,A New Fiducial Limits of a Single Plankton Sample,,,,,,,,,,,,,,,discarded,It's not agrarian
325,Problems in the variance analysis of nine environmental monitoring variables: Determining the number of samples needed to detect a change in mean of 50%.,,,,,,,,,,,,,,,discarded,It's not agrarian
326,TAT Measures of Gender Identity (Castration Anxiety) in Father-Absent Males,,,,,,,,,,,,,,,discarded,It's not agrarian
327,A SIMULATION PROGRAM EXAMINING THE USE OF RATIOS AS RAW VARIABLES IN ANALYSES OF VARIANCE,,,,,,,,,,,,,,,discarded,It's not agrarian
328,CONTINUOUS MULTIVARIATE METHODS IN COMMUNITY ANALYSIS: SOME PROBLEMS AND DEVELOPMENTS,,,,,,,,,,,,,,,discarded,It's not agrarian
329,Ratio Data and the Quantification of Drug Effects,,,,,,,,,,,,,,,discarded,It's not agrarian
330,On the Effect of Using Ratios in the Analysis of Variance,,,,,,,,,,,,,,,discarded,It's not agrarian
331,DOES THE LAW OF INlTIAL VALUE APPLY TO THE GALVANIC SKIN RESPONSE?,,,,,,,,,,,,,,,discarded,It's not agrarian
332,Forty-five Northern Irish Families: A Cephalometric Radiographic Study ,,,,,,,,,,,,,,,discarded,It's not agrarian
333,Studies in Interactive Communication: I. The Effects of Four Communication Modes on the Behavior of Teams During Cooperative Problem-Solving,,,,,,,,,,,,,,,discarded,It's not agrarian
334,CONSEQUENCES OF FAILURE TO MEET ASSUMPTIONS UNDERLYING THE FIXED EFFECTS ANALYSES OF VARIANCE AND COVARIANCE,,,,,,,,,,,,,,,discarded,It's not agrarian
335,TEMPORARY FATIGUE EFFECTS IN A GROSS MOTOR SKILL,,,,,,,,,,,,,,,discarded,It's not agrarian
336,Hidden Diversity of Crown Rust Resistance within Genebank Resources of Avena sterilis L.,,,,,,,,,,,,,,,discarded,It's not agrarian
337,Ecological responses of two shrimp populations (Palaemonidae) to seasonal abiotic factor variations in a Brazilian semiarid reservoir,,,,,,,,,,,,,,,discarded,It's not agrarian
338,Broiler carcass condemnation pattern during processing,,,,,,,,,,,,,,,discarded,Does not perform data transformation
339,"Glyphosate, trinexapac-ethyl, and mepiquat chloride on the productive performance of bush snap beans",,,,,,,,,,,,,,,discarded,Does not perform data transformation
340,Effects of terrain slope and aspect on the error of ALS-based predictions of forest attributes,,,,,,,,,,,,,,,discarded,It's not agrarian
341,Knowledge-based digital soil mapping for predicting soil properties in two representative watersheds,,,,,,,,,,,,,,,discarded,It's not agrarian
342,Computerized image analysis of seedlings to evaluate broccoli seed vigor,,,,,,,,,,,,,,,discarded,Does not perform data transformation
343,Variation in the size of fusiform cambial initials and vessel members in Hoheria angustifolia Raoul,,,,,,,,,,,,,,,discarded,It's not agrarian
344,An intuitive explanation of generalised linear models,,,,,,,,,,,,,,,discarded,It's not agrarian
345,Occurrence and Distribution of Bioluminescent Bacteria in the Seto Inland Sea,,,,,,,,,,,,,,,discarded,It's not agrarian
346,Statistical Methods for Detecting Ichthyoplankton Density Patterns that Influence Entrainment Mortality,,,,,,,,,,,,,,,discarded,It's not agrarian
347,INFLUENCE OF COARSE WOODY DEBRIS ON THE GASTROPOD COMMUNITY OF A MANAGED CALCAREOUS BEECH FOREST IN WESTERN EUROPE,,,,,,,,,,,,,,,discarded,It's not agrarian
348,Spatial and temporal changes in the assemblage structure of fishes associated to fish aggregation devices in the Western Mediterranean,,,,,,,,,,,,,,,discarded,It's not agrarian
349,Throughfall in balsam fir: Some landscape-scale implications in western Newfoundland,,,,,,,,,,,,,,,discarded,It's not agrarian
350,Consequences of size structure in the prey for predator– prey dynamics: the composite functional response,,,,,,,,,,,,,,,discarded,It's not agrarian
351,"Sun and shade leaves of Olea europaea respond differently to plant size, light availability and genetic variation",,,,,,,,,,,,,,,discarded,Does not identify the transformation
352,Development of microorganisms during storage of wet brewery waste under aerobic and anaerobic conditions,,,,,,,,,,,,,,,discarded,It's not agrarian
353,"Insects of the Subfamily Scolytinae (Insecta: Coleoptera, Curculionidae) Collected with Pitfall and Ethanol Traps in Primary Forests of Central Amazonia",,,,,,,,,,,,,,,discarded,It's not agrarian
354,"Decomposition during autumn foliage leaf-fall in wetlands situated along a biogeochemical gradient in Pennsylvania, USA",,,,,,,,,,,,,,,discarded,It's not agrarian
355,Genetic parameters and clonal variation in growth and nutritional traits of containerized white spruce somatic seedlings,,,,,,,,,,,,,,,discarded,It's not agrarian
356,Variability of alder-dominated forest vegetation along a latitudinal gradient in Slovakia,,,,,,,,,,,,,,,discarded,It's not agrarian
357,Morphological differentiation supports the genetic pattern of the geographic structure of Juniperus thurifera (Cupressaceae),,,,,,,,,,,,,,,discarded,It's not agrarian
358,Sexual dimorphism in the relative growth of the claw weight of adult Chinese mitten crab (Eriocheir sinensis). A generalized least squares approach,,,,,,,,,,,,,,,discarded,It's not agrarian
359,Downy Brome (Bromus tectorum) Control with Imazapic on Montana Grasslands,,,,,,,,,,,,,,,discarded,It's not agrarian
360,"Ciliate Diversity, Community Structure, and Novel Taxa in Lakes of the McMurdo Dry Valleys, Antarctica",,,,,,,,,,,,,,,discarded,It's not agrarian
361,Effects of elevation and nitrogen and phosphorus fertilization on plant defence compounds in subarctic tundra heath vegetation,,,,,,,,,,,,,,,discarded,It's not agrarian
362,Biometry and germination of Balfourodendron riedelianum Eng. Eng.1,,,,,,,,,,,,,,,discarded,It's not agrarian
363,Seed cryopreservation of Passiflora species,,,,,,,,,,,,,,,discarded,It's not agrarian
364,Leaf anatomy of emerald grass submitted to quantitative application of herbicides,,,,,,,,,,,,,,,discarded,It's not agrarian
365,Genetic parameter estimates and identification of superior white maize populations,,,,,,,,,,,,,,,discarded,Does not perform data transformation
366,TWO-SAMPLE AND ANOVA TESTS FOR HIGH DIMENSIONAL MEANS1,,,,,,,,,,,,,,,discarded,It's not agrarian
367,A Non Parametric Data Transformation Technique for Quantitative Genetic Analyses: The Rank Transformation,,,,,,,,,,,,,,,discarded,It's not agrarian
368,Good statistical practice in pharmacology Problem 2,,,,,,,,,,,,,,,discarded,It's not agrarian
369,Using Predictive Modeling and Classification Methods for Single and Overlapping Bead Laser Cladding to Understand Bead Geometry to Process Parameter Relationships,,,,,,,,,,,,,,,discarded,It's not agrarian
370,"Baseline concentrations of As, Ba, Be, Li, Nb, Sr and V in surface soils of Poland",,,,,,,,,,,,,,,discarded,It's not agrarian
371,PROPAGATION OF THREE VARIETIES OF STAR FRUIT BY HERBACEOUS CUTTING,,,,,,,,,,,,,,,discarded,It's not agrarian
372,Rank Regression for Analyzing Ordinal Qualitative Data for Treatment Comparison,,,,,,,,,,,,,,,discarded,It's not agrarian
373,Measuring the impact of sewage effluent on the macroinvertebrate community of an upland stream: The effect of different levels of taxonomic resolution and quantification,,,,,,,,,,,,,,,discarded,It's not agrarian
374,A Comparison of the Discoloration Potential for EndoSequence Bioceramic Root Repair Material Fast Set Putty and ProRoot MTA in HumanTeeth: An InVitro Study,,,,,,,,,,,,,,,discarded,It's not agrarian
375,University students’ changes in mental health status and determinants of behavior during the COVID-19 lockdown in Greece,,,,,,,,,,,,,,,discarded,It's not agrarian
376,Autogenous Bone Graft With or Without a Calcium Sulfate Barrier in the Treatment of Class II Furcation Defects: A Histologic and Histometric Study in Dogs,,,,,,,,,,,,,,,discarded,It's not agrarian
377,Spectrophotometric Analysis of Coronal Tooth Discoloration Induced by Various Bioceramic Cements and Other Endodontic Materials,,,,,,,,,,,,,,,discarded,It's not agrarian
378,Development of empirical model for different process parameters during rotary electrical discharge machining of copper–steel (EN-8) system,,,,,,,,,,,,,,,discarded,It's not agrarian
379,Plasma cellular fibronectin as a measure of endothelial involvement in preeclampsia and intrauterine growth retardation,,,,,,,,,,,,,,,discarded,It's not agrarian
380,Influence of MDPB-containing Primer on Streptococcus Mutans Biofilm Formation in Simulated Class I Restorations,,,,,,,,,,,,,,,discarded,It's not agrarian
381,Spectrophotometric analysis of crown discoloration induced by MTA- and ZnOE-based sealers,,,,,,,,,,,,,,,discarded,It's not agrarian
382,Averaging auditory evoked magnetoencephalographic and electroencephalographic responses: a critical discussion,,,,,,,,,,,,,,,discarded,It's not agrarian
383,"MODELLING THE INTERACTIVE EFFECTS OF ALUMINUM, CADMIUM, MANGANESE, NICKEL AND ZINC STRESS USING THE WEIBULL FREQUENCY DISTRIBUTION",,,,,,,,,,,,,,,discarded,It's not agrarian
384,Erosivity indicators based on rainfall in Northwestern Mexico,,,,,,,,,,,,,,,discarded,It's not agrarian
385,Pharmacokinetic and bioequivalence evaluation of two formulations of 100 mg trimebutine maleate (Recutin™ and Polybutin™) in healthy male volunteers using the LC–MS/MS method,,,,,,,,,,,,,,,discarded,It's not agrarian
386,A Comparative Study of the Accuracy between Plastic and Metal Impression Transfer Copings for Implant Restorations,,,,,,,,,,,,,,,discarded,It's not agrarian
387,"Ice-avalanche scenario elaboration and uncertainty propagation in numerical simulation of rock-/ice-avalanche-induced impact waves at Mount Hualcán and Lake 513, Peru",,,,,,,,,,,,,,,discarded,It's not agrarian
388,Pruning of small fruit crops can affect habitat suitability for Drosophila suzukii,,,,,,,,,,,,,,,discarded,It's not agrarian
389,Analysis of Astragalus Polysaccharide Intervention in Heat-Stressed Dairy Cows’ Serum Metabolomics,,,,,,,,,,,,,,,discarded,It's not agrarian
390,Effect of age on the relationship between metabolizable energy and digestible energy for broiler chickens,,,,,,,,,,,,,,,discarded,It's not agrarian
391,"Effective Analysis of Interactive Effects with Non-Normal Data Using the Aligned Rank Transform, ARTool and SAS® University Edition",,,,,,,,,,,,,,,discarded,It's not agrarian
392,Technological properties of particleboards produced using mixture of pines and bamboo,,,,,,,,,,,,,,,discarded,It's not agrarian
393,GAS EXCHANGE AND PHOTOCHEMICAL EFFICIENCY IN LIMA BEAN GENOTYPES GROWN IN COMPACTED SOILS,,,,,,,,,,,,,,,discarded,Does not perform data transformation
394,NILE TILAPIA FED ENZYME COMPLEX ADDED AT DIFFERENT LEVELS AND PROCESSING STEPS,,,,,,,,,,,,,,,discarded,It's not agrarian
395,Spectral-temporal characterization of wheat cultivars through NDVI obtained by terrestrial sensors,,,,,,,,,,,,,,,discarded,Does not perform data transformation
396,"Association between ambient temperature and humidity, vaginal temperature, and automatic activity monitoring on induced estrus in lactating cows",,,,,,,,,,,,,,,discarded,It's not agrarian
397,Intravaginal instillation of gonadotropin-releasing hormone analogues with an absorption enhancer induced a surge of luteinizing hormone in lactating dairy cows,,,,,,,,,,,,,,,discarded,It's not agrarian
398,"SPECTRUM, VELOCITY AND DRIFT OF DROPLETS SPRAYED BY NOZZLES WITH AND WITHOUT AIR INDUCTION AND MINERAL OIL",,,,,,,,,,,,,,,discarded,It's not agrarian
399,Rbio: A tool for biometric and statistical analysis using the R platform,,,,,,,,,,,,,,,discarded,It's not agrarian
400,The effect of dietary lysozyme with EDTA on growth performance and intestinal microbiota of broiler chickens in each period of the growth cycle,,,,,,,,,,,,,,,discarded,It's not agrarian
401,Instability of the expression of morphological and phenological descriptors to environmental variation in white oat,,,,,,,,,,,,,,,discarded,Does not perform data transformation
402,A Comparative Study of Root System Architecture in Seedlings of Brachypodium spp. Using Three Plant Growth Supports,,,,,,,,,,,,,,,discarded,It's not agrarian
403,The periparturient period is associated with structural and transcriptomic adaptations of rumen papillae in dairy cattle,,,,,,,,,,,,,,,discarded,Does not perform data transformation
404,Can Analysis of Variance Be More Signifi cant?,,,,,,,,,,,,,,,discarded,It's not agrarian
405,Effect of moving dairy cows at different stages of labor on behavior during parturition,,,,,,,,,,,,,,,discarded,It's not agrarian
406,Redirected behavior in learning tasks: the commercial laying hen (Gallus gallus domesticus) as model,,,,,,,,,,,,,,,discarded,It's not agrarian
407,Phenotypic and Genetic Influences on Test-Day Measures of Acetone Concentration in Milk,,,,,,,,,,,,,,,discarded,It's not agrarian
408,"Abundance of thraustochytrids and ciliated protozoans in a Mediterranean sandy shore determined by an improved, direct method",,,,,,,,,,,,,,,discarded,It's not agrarian
409,Alternative for the evaluation of coffee seedlings using Fisher’s discriminant analysis,,,,,,,,,,,,,,,discarded,Does not perform data transformation
410,Appropriate levels of taxonomic discrimination in deep-sea studies: species vs family,,,,,,,,,,,,,,,discarded,It's not agrarian
411,Benthic studies in LTER sites: the use of taxonomy surrogates in the detection of long-term changes in lagoonal benthic assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
412,NON-PARAMETRIC STATISTICAL METHODS AND DATA TRANSFORMATIONS IN AGRICULTURAL PEST POPULATION STUDIES,,,,,,,,,,,,,,,discarded,It's not agrarian
413,Castration Fantasies and Assertiveness in FatherAbsent Males,,,,,,,,,,,,,,,discarded,It's not agrarian
414,Comparison of Different Tolerance Indices and PCA Biplot Analysis for Assessment of Salinity Tolerance in Lentil (Lens culinaris) Genotypes,,,,,,,,,,,,,,,discarded,Does not perform data transformation
415,Comparison of non-parametric indexes to select soybean genotypes obtained by recurrent selection,,,,,,,,,,,,,,,discarded,Does not perform data transformation
416,Compositional Dynamics of Gastrointestinal Tract Microbiomes Associated with Dietary Transition and Feeding Cessation in Lake Sturgeon Larvae,,,,,,,,,,,,,,,discarded,It's not agrarian
417,Detecting strong spatial and temporal variation in macrobenthic composition on an urban shelf using taxonomic surrogates,,,,,,,,,,,,,,,discarded,It's not agrarian
418,Distinction of nektonic and benthic communities between fish-present (Salvelinus fontinalis) and natural fishless lakes,,,,,,,,,,,,,,,discarded,It's not agrarian
419,"Evaluation of geostatistical method and hybrid Artificial Neural Network with imperialist competitive algorithm for predicting distribution pattern of Tetranychus urticae (Acari: Tetranychidae) in cucumber field of Behbahan, Iran",,,,,,,,,,,,,,,discarded,did not perform variance analysis
420,Implications of macroinvertebrate taxonomic resolution for freshwater assessments using functional traits: The Paute River Basin (Ecuador) case,,,,,,,,,,,,,,,discarded,It's not agrarian
421,EFFECT OF TRAFFIC INTENSITIES OF A DIRECTIONAL FELLER AND SKIDDER ON THE COMPACTION OF A BRUNO NITISOL,,,,,,,,,,,,,,,discarded,It's not agrarian
422,Effect of Typha domingensis cutting: response of benthic macroinvertebrates and macrophyte regeneration,,,,,,,,,,,,,,,discarded,It's not agrarian
423,Effects of pruning a temperate mangrove forest on the associated assemblages of macroinvertebrates,,,,,,,,,,,,,,,discarded,It's not agrarian
424,Robust group- but limited individuallevel (longitudinal) reliability and insights into cross-phases response prediction of conditioned fear,,,,,,,,,,,,,,,discarded,It's not agrarian
425,ESTIMATION OF LARGE DIMENSIONAL CONDITIONAL FACTOR MODELS IN FINANCE,,,,,,,,,,,,,,,discarded,It's not agrarian
426,Estimation of the Proportion of Offspring Having Genetically Crispy Flesh in Grape Breeding,,,,,,,,,,,,,,,discarded,Does not perform data transformation
427,Evaluating group distributional characteristics: Why psychophysiologists should be interested in qualitative departures from the normal distribution,,,,,,,,,,,,,,,discarded,It's not agrarian
428,Evaluating group distributional characteristics: Why psychophysiologists should be interested in qualitative departures from the normal distribution,,,,,,,,,,,,,,,discarded,It's not agrarian
429,Exploring Plant Functional Diversity and Redundancy of Mediterranean High-Mountain Habitats in the Apennines,,,,,,,,,,,,,,,discarded,It's not agrarian
430,Firmicutes Levels in the Mouth Reflect the Gut Condition With Respect to Obesity and Early Childhood Caries,,,,,,,,,,,,,,,discarded,It's not agrarian
431,"Food resource partitioning among species of Astyanax (Characiformes: Characidae) in the Lower Iguaçu River and tributaries, Brazil",,,,,,,,,,,,,,,discarded,It's not agrarian
432,"Genetic diversity of four broodstocks of tilapia (Oreochromis sp.) from Antioquia, Colombia",,,,,,,,,,,,,,,discarded,It's not agrarian
433,"Growth and Survival of Black-lip Pearl Oyster Pinctada margaritifera (Linnaeus, 1758) in Bamboo and Metal-framed Pocket Net Baskets Subjected to Cleaning and Without Cleaning Conditions",,,,,,,,,,,,,,,discarded,It's not agrarian
434,"Influence of Antibiotics, Sealing System and Genotype on Shoot Regeneration via Organogenesis in Passion Flowers",,,,,,,,,,,,,,,discarded,It's not agrarian
435,Statistical Analysis of Requirements Prioritization for Transition to Web Technologies: A Case Study in an Electric Power Organization,,,,,,,,,,,,,,,discarded,It's not agrarian
436,Seq’ and ARMS shall find: DNA (meta)barcoding of Autonomous Reef Monitoring Structures across the tree of life uncovers hidden cryptobiome of tropical urban coral reefs,,,,,,,,,,,,,,,discarded,It's not agrarian
437,Local enhancement of epibenthic macrofauna by aquaculture activities,,,,,,,,,,,,,,,discarded,It's not agrarian
438,Non-linear transformation of enzyme-linked immunosorbent assay (ELISA) measurements allows usage of linear models for data analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
439,Influence of an Antarctic waste dump on recruitment to nearshore marine soft-sediment assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
440,Integral evaluation of indicators in models of parametric and non-parametric analysis of variance. Use of the categorical principal component,,,,,,,,,,,,,,,discarded,It's not agrarian
441,"The interaction effect of body mass index and age on fat‑free mass, waist‑to‑hip ratio, and soft lean mass",,,,,,,,,,,,,,,discarded,It's not agrarian
442,Large‑scale diachronic surveys of the composition and dynamics of plant communities in Pyrenean snowbeds,,,,,,,,,,,,,,,discarded,It's not agrarian
443,"Maize (Zea mays L.) yield stability dependence on crop rotation, fertilization and climatic conditions in a long-term experiment on Haplic Chernozem",,,,,,,,,,,,,,,discarded,Does not perform data transformation
444,Marginal adaptation in proximal cavities restored with composites and other materials,,,,,,,,,,,,,,,discarded,It's not agrarian
445,Microbial Quality of Treated Wastewater and Borehole Water Used for Irrigation in a Semi-Arid Area,,,,,,,,,,,,,,,discarded,It's not agrarian
446,Multispecies environmental DNA metabarcoding sheds light on annual coral spawning events,,,,,,,,,,,,,,,discarded,It's not agrarian
447,"Morphometric and meristic variation in the Atlantic chub mackerel Scomber colias Gmelin, 1789 from the Moroccan coast",,,,,,,,,,,,,,,discarded,It's not agrarian
448,Experimental Investigation Using Response Surface Methodology for Condition Monitoring of Misaligned Rotor System,,,,,,,,,,,,,,,discarded,It's not agrarian
449,On the Use of Statistical Tests with Non-Normally Distributed Data in Landscape Change Detection,,,,,,,,,,,,,,,discarded,It's not agrarian
450,"Phenotypic Variability, Heritability and Associations of Agronomic and Quality Traits in Cultivated Ethiopian Durum Wheat (Triticum turgidum L. ssp. Durum, Desf.)",,,,,,,,,,,,,,,discarded,Does not perform data transformation
451,Physiological quality of rice in the function of selenium doses,,,,,,,,,,,,,,,discarded,Does not perform data transformation
452,PRAIRIE DOG EFFECTS ON PLANT COMMUNITY STRUCTURE IN SOUTHERN MIXED-GRASS PRAIRIE,,,,,,,,,,,,,,,discarded,It's not agrarian
453,Preanalytical Pitfalls in Untargeted Plasma Nuclear Magnetic Resonance Metabolomics of Endocrine Hypertension,,,,,,,,,,,,,,,discarded,It's not agrarian
454,Prospects and constraints in studying the biodiversity of agriculturally important microalgae and cyanobacteria and useful statistical tools,,,,,,,,,,,,,,,discarded,It's not agrarian
455,Relationships between spatial patterns of benthic assemblages in a mangrove forest using different levels of taxonomic resolution,,,,,,,,,,,,,,,discarded,It's not agrarian
456,Relationships between the incidence and degree of medullation with the diameter of alpaca fibers evaluated using a novel device based on artificial intelligence,,,,,,,,,,,,,,,discarded,It's not agrarian
457,RunData: an easy and intuitive online tool for statistical analyses,,,,,,,,,,,,,,,discarded,It's not agrarian
458,Scale-dependent distribution of soft-bottom infauna and possible structuring forces in low diversity systems,,,,,,,,,,,,,,,discarded,It's not agrarian
459,Seascape biodiversity patterns along the Mediterranean and the Black Sea: lessons from the biogeography of benthic polychaetes,,,,,,,,,,,,,,,discarded,It's not agrarian
460,Diagnostic Framework for Evaluating How Parametric Uncertainty Influences Agro-Hydrologic Model Projections of Crop Yields Under Climate Change,,,,,,,,,,,,,,,discarded,It's not agrarian
461,"Similarity, classification and diversity “an Eternal Golden Braid” in quantitative vegetation studies",,,,,,,,,,,,,,,discarded,It's not agrarian
462,Spatial and temporal heterogeneity in the distribution of an Antarctic amphipod and relationship with the sediment,,,,,,,,,,,,,,,discarded,It's not agrarian
463,"Spatial variability in evaluation experiments of corn genotypes in the state of Mato Grosso do Sul, Brazil",,,,,,,,,,,,,,,discarded,Does not perform data transformation
464,Species surrogacy in environmental impact assessment and monitoring: extending the BestAgg approach to asymmetrical designs,,,,,,,,,,,,,,,discarded,It's not agrarian
465,The role of industry 4.0 in supply chain sustainability: Evidence from the rubber industry,,,,,,,,,,,,,,,discarded,It's not agrarian
466,Tips and Tricks for Successful Application of Statistical Methods to Biological Data,,,,,,,,,,,,,,,discarded,It's not agrarian
467,Tree species with potential for reforestation in coastal zones of the humid tropics,,,,,,,,,,,,,,,discarded,It's not agrarian
468,Understanding Dilated Mathematical Relationship between Image Features and the Convolutional Neural Network’s Learnt Parameters,,,,,,,,,,,,,,,discarded,It's not agrarian
469,Use of auctions to assess consumer value for milk from different packaging,,,,,,,,,,,,,,,discarded,It's not agrarian
470,"Stevia rebaudiana Bertoni: The Interaction of Night Interruption on Gas Exchange, Flowering Delay, and Steviol Glycosides Synthesis",,,,,,,,,,,,,,,discarded,It's not agrarian
471,Supervised Dimensionality Reduction and Visualization using Centroid-Encoder,,,,,,,,,,,,,,,discarded,It's not agrarian
472,Winter oilseed rape and weed competition in organic farming using non-chemical weed control,,,,,,,,,,,,,,,discarded,did not perform variance analysis
473,Subjective assessment of frequency distribution histograms and consequences on reference interval accuracy for small sample sizes: A computer-simulated study,,,,,,,,,,,,,,,discarded,It's not agrarian
474,Transformation of Multicolour Flow Cytometry data with OTflow prevents misleading multivariate analysis (MVA) results and incorrect immunological conclusions,,,,,,,,,,,,,,,discarded,It's not agrarian
475,Cold thermal tolerance as a range‑shift predictive trait: an essential link in the disparity of occurrence of tropical reef fshes in temperate waters,,,,,,,,,,,,,,,discarded,It's not agrarian
476,Technical Note: Application of the Box-Cox Data Transformation to Animal Science Experiments,,,,,,,,,,,,,,,discarded,It's not agrarian
477,Genetics of Lifetime Reproductive Performance in Italian Heavy Draught Horse Mares,,,,,,,,,,,,,,,discarded,did not perform variance analysis
478,Is the benthic index AMBI impervious to seasonality and data transformations while evaluating the ecological status of an anthropized monsoonal estuary?,,,,,,,,,,,,,,,discarded,It's not agrarian
479,Outliers in L2 Research in Applied Linguistics: A Synthesis and Data Re-Analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
480,Block stream characteristics in Southern Carpathians,,,,,,,,,,,,,,,discarded,It's not agrarian
481,A Robust and Transferable Model for the Prediction of Flood Losses on Household Contents,,,,,,,,,,,,,,,discarded,It's not agrarian
482,SPME-GC×GC-TOF MS FINGERPRINT OFVIRALLY-INFECTED CELL 2 CULTURE: SAMPLE PREPARATION OPTIMIZATION AND DATA 3 PROCESSING EVALUATION,,,,,,,,,,,,,,,discarded,It's not agrarian
483,Influence of Cutting Parameters on Surface Roughness in Grinding of 65G Steel,,,,,,,,,,,,,,,discarded,It's not agrarian
484,A tutorial on the statistical analysis of factorial experiments with qualitative and quantitative treatment factor level,,,,,,,,,,,,,,,discarded,It's not agrarian
485,Synthetic design hydrographs for ungauged catchments: a comparison of regionalization methods,,,,,,,,,,,,,,,discarded,It's not agrarian
486,Approximate prediction intervals in the original units when fitting models using data transformations,,,,,,,,,,,,,,,discarded,It's not agrarian
487,A Conversation on Data Mining Strategies in LC-MS Untargeted Metabolomics: Pre-Processing and Pre-Treatment Steps,,,,,,,,,,,,,,,discarded,It's not agrarian
488,A simple method for optimising transformation of non-parametric data: an illustration by reference to cortisol assays,,,,,,,,,,,,,,,discarded,It's not agrarian
489,Experimental analysis of drag reduction in the pipelines with response surface methodology,,,,,,,,,,,,,,,discarded,It's not agrarian
490,Statistical analysis of the influence of major tributaries to the eco-chemical status of the Danube River,,,,,,,,,,,,,,,discarded,It's not agrarian
491,Topics in constrained and unconstrained ordination,,,,,,,,,,,,,,,discarded,It's not agrarian
492,QUANTIFYING NATURAL VARIABILITY AS A METHOD TO DETECT ENVIRONMENTAL CHANGE: DEFINITIONS OF THE NORMAL RANGE FOR A SINGLE OBSERVATION AND THE MEAN OF M OBSERVATIONS,,,,,,,,,,,,,,,discarded,It's not agrarian
493,Eutrophication modulates plant-litter diversity effects on litter decomposition in streams,,,,,,,,,,,,,,,discarded,It's not agrarian
494,A sediment mesocosm experiment to determine if the remediation of a shoreline waste disposal site in Antarctica caused further environmental impacts,,,,,,,,,,,,,,,discarded,It's not agrarian
